id,nombre,nivel,refs,lat,lng,brief,area
jerusalem,Jerusalem,MVP,995,31.777444,35.234935,"The capital of Israel, a holy city for three religions",-
egypt,Egypt,MVP,741,30.108086,31.33822,Ancient nation; Israelites enslaved there; plagues and Exodus,-
babylon,Babylon,zona,306,32.53650368616845,44.42088287373876,"Ancient Mesopotamian city, capital of Babylonian Empire, site of the Tower of Babel.",-
philistia,Philistia,zona,294,33.56316734135746,35.36634649354799,An ancient people and region in Canaan,-
jordan,Jordan,zona,197,32.309099,35.5599,"A river and region, significant in Israel's history",-
moab,Moab,zona,184,31.49684513710609,35.78284105296996,Ancient kingdom east of the Dead Sea in Jordan,Edom
jericho,Jericho,N1,175,31.87060143818292,35.44386371224434,"An ancient city in Canaan, famously conquered by Israel",-
canaan,Canaan,MVP,152,31.69352950368834,34.84388288576839,Ancient region; descendants of Ham; promised to Abraham's descendants,-
assyria,Assyria,zona,149,36.35941,43.152887,"A powerful ancient empire, often in conflict with Israel.",-
ammon,Ammon,zona,143,31.95018855468469,35.92413135872749,"An ancient nation and its capital city, enemies of Israel.",-
syria,Syria,zona,135,33.519299,36.31344999999999,"Ancient region north of Israel, often in conflict",-
samaria,Samaria,zona,134,32.28023100000001,35.19792900000002,Capital city of the northern kingdom of Israel; Samaritan inhabitants,-
edom,Edom,zona,109,30.734691,35.60625,Descendants of Esau; enemy nation southeast of Israel,Edom
gilead,Gilead,zona,99,32.042523,35.724241,Mountainous region east of Jordan; tribal territory and personal name.,Tribe of Manasseh
chaldea,Chaldea,zona,91,30.9620520474569,46.10374195774169,Ancient Mesopotamian empire; known for astrology and wisdom,-
bethel,Bethel,N1,82,31.93053920580005,35.22103274923676,"Important city in Israel, associated with Abraham and Jacob.",-
tyre,Tyre,N1,80,33.27582782266882,35.19257453545583,"A major Phoenician port city, known for its trade",-
dan,Dan,zona,76,33.24865997897308,35.65248345039043,Israelite tribe; city in northern Israel; originally called Laish/Leshem.,Tribe of Dan
galilee,Galilee,zona,76,32.70674542474383,35.30152807767973,Region in northern Israel; key location in Jesus' ministry,-
hebron,Hebron,N1,70,31.53577362133176,35.09409986578734,An important city in Judah; burial place of patriarchs.,-
euphrates,Euphrates,zona,65,35.090577,40.42778,Major river in ancient Near East; boundary of Promised Land,-
midian,Midian,zona,64,28.932881,34.90832,A nation descended from Abraham; oppressed Israel in the time of the judges,Edom
