name,refs,lat,lng,brief,area
Jordan,197,32.309099,35.5599,"A river and region, significant in Israel's history",-
Moab,184,31.49684513710609,35.78284105296996,Ancient kingdom east of the Dead Sea in Jordan,Edom
Gilead,99,32.042523,35.724241,Mountainous region east of Jordan; tribal territory and personal name.,Tribe of Manasseh
Euphrates,65,35.090577,40.42778,Major river in ancient Near East; boundary of Promised Land,-
Lebanon,63,33.752479,35.590804,A mountainous region known for its cedar trees,-
Nile,51,30.092632,31.230987,"The major river of Egypt, mentioned in various contexts",-
Sinai,43,28.539722,33.973333,Mountain where Moses received the Ten Commandments,-
Hermon Mount,28,33.41615982399708,35.85725617635589,Mountain on the northern border of Israel,-
Kadesh,27,30.68771281376111,34.49479554246946,An important oasis in the Wilderness of Zin,-
Red Sea,26,27.088473,34.771729,Sea crossed by Israelites in the Exodus,-
Arnon,25,31.4288,35.677009,"A river and valley, serving as a boundary for Israel.",-
Arabah,22,32.029676,35.520995,A desert region in the Jordan Valley and southward.,-
Shephelah,20,31.77761410537458,34.85214575880509,Lowland region between Judean hills and coastal plain,-
Cyprus,15,35.018306,33.207693,Island in the Mediterranean Sea; early Christian community,Cyprus
Olives Mount,15,31.77809503341373,35.2471976093501,A mountain ridge east of Jerusalem,-
Joppa,14,32.05351968494696,34.75042606009946,"An ancient seaport, the main port for Jerusalem",-
Kidron,14,31.772134,35.236596,"A valley east of Jerusalem, site of significant events",-
Magadan,14,32.84733494629723,35.5229361797708,A place on the Sea of Galilee; home of Mary Magdalene,-
Salt Sea,14,31.538593,35.482268,Another name for the Dead Sea,-
Great Sea,13,33.24,33.47,"The Mediterranean Sea, the western boundary of the Promised Land.",-
Megiddo,13,32.58418313614938,35.18229165870594,A strategic city in the Jezreel Valley,-
Chinnereth,11,32.80677585520321,35.58936052679091,Freshwater lake in northern Israel; location of Jesus' ministry,-
Seir Mount,11,30.734691,35.60625,"Mountainous region in Seir, associated with Edom",-
Hor Mount,10,30.317396,35.407152,Mountain where Aaron died and was buried,-
Zin,10,30.68771281376111,34.49479554246946,A desert and wilderness region south of Judah,-
Aroer,9,31.47109529828131,35.82200331579328,A city on the edge of the Arnon Valley.,-
Paran,9,29.151667,33.541944,A desert region in the Sinai Peninsula,-
