name,refs,lat,lng,brief,area
Achzib,4,31.7,35.0,"A town in Judah, birthplace of Shelah.",-
Alexandria,4,31.2278414761719,29.9569242709775,A major city in Egypt,-
Antioch,4,38.31643056393041,31.17948683048973,A city in Pisidia where Paul preached the gospel.,-
Aphek,4,32.1047126614992,34.93197921211777,"A city in the Shephelah, site of Philistine battles.",-
Arad,4,31.28098170907087,35.12636584365214,"Arad, Canaanite city, attacked Israel, later inhabited by Kenites",Tribe of Benjamin
Ararat,4,39.70289295384448,44.29818047261773,A mountain range where Noah's ark rested after the flood.,-
Argob,4,33.144,36.136,"A region in Bashan, known for its fortified cities.",-
Ashan,4,31.8099,34.9365,A city allotted to Judah and Simeon.,-
Baal-perazim,4,31.756332,35.223059,Place where David defeated the Philistines.,-
Bene-jaakan,4,30.317396,35.407152,Israelite encampment during the wilderness wanderings.,-
Beth-barah,4,31.8363211491438,35.55260017422344,Place where Gideon stationed men to intercept the Midianites.,-
Beth-jeshimoth,4,31.77691134657884,35.59865748950166,"Town in Moab, allotted to Reuben, mentioned in prophecy.",-
Beth-millo,4,32.21369123124062,35.2817986718367,"Fortified place in Shechem, associated with Abimelech's rule.",-
Beth-peor,4,31.656099,35.71187,"Place east of the Jordan, where Moses was buried.",-
Beth-rehob,4,33.219354,35.544122,"Aramean city and region, allied with Ammon against David.",-
Beth-zur,4,31.596107,35.10262,"Town in Judah, fortified by Rehoboam, repaired by Nehemiah.",-
Calneh,4,32.127213,45.229995,"Ancient Mesopotamian city, possibly Kullania or Kullanhu",-
Chephirah,4,31.836401,35.095272,Gibeonite town; later part of Benjamin and Judah,-
Cherub,4,32.53650368616845,44.42088287373876,Babylonian location; home of some returning exiles,-
Chinneroth,4,32.80677585520321,35.58936052679091,Region and city near the Sea of Galilee,-
Derbe,4,37.35092016962404,33.27141769926378,City in Lycaonia visited by Paul on missionary journeys.,-
Dung Gate,4,31.777444,35.234935,"A gate in Jerusalem's wall, possibly used for waste removal.",-
Esau Mount,4,30.734691,35.60625,Mountainous region of Edom; judgment prophesied by Obadiah,-
Eshcol Valley,4,31.54909871686872,35.09356062020027,Valley where Israelite spies obtained a large cluster of grapes,-
Etham,4,30.467511,32.282767,Wilderness area where Israelites camped during the Exodus,-
Fish Gate,4,31.777444,35.234935,Gate in Jerusalem's wall; rebuilt by Hassenaah during Nehemiah's time,-
Gaash,4,32.121473,35.150392,Mountain in Ephraim; burial place of Joshua,-
Gebal,4,34.11910360710159,35.6461419556213,Phoenician city; skilled builders; allied against Israel,-
Gederah,4,31.823337,34.777779,Town in Judah; home of Baal-hanan and Jozabad,-
Gerizim Mount,4,32.19956174365378,35.27285228460234,Mountain in Samaria; site of blessings and Jotham's parable,-
Giloh,4,31.616667,35.083333,"A city in Judah; home of Ahithophel, David's counselor.",-
Golan,4,32.80007552505443,35.93730130476259,"A city of refuge in Bashan, allotted to Manasseh.",-
Hammath,4,33.125828,35.165,A fortified city and Levitical town in Naphtali.,Tribe of Judah
Harod,4,32.549638,35.355647,A spring near where Gideon gathered his army.,-
Havvoth-jair,4,32.042523,35.724241,Villages in Gilead captured by Jair,-
Hazar-enan,4,34.229499,37.240077,Town on the northern border of Israel,-
Hazar-shual,4,31.215418,34.942986,Town allotted to Judah and Simeon,-
Horesh,4,31.45113920529978,35.08840337232346,A wilderness area where David hid from Saul,-
Hor-haggidgad,4,30.358285,35.19027,An Israelite campsite during the wilderness wanderings,-
Ijon,4,33.32804402945069,35.61187505342423,A town in northern Israel conquered by Assyria,-
Jattir,4,31.40143851886152,35.06941349210527,A town in the hill country of Judah,-
Jeshimon,4,31.46152536164766,35.39241108242345,"A wilderness near Ziph, where David hid from Saul",-
Jokneam,4,32.66454576550823,35.10891818863304,"A Canaanite city, later a Levitical city in Zebulun",-
Kedemoth,4,31.646073,35.894537,"A town in Moab, later a Levitical city in Reuben",-
Kir,4,33.123611,45.931389,"A city or region in Mesopotamia, possibly Elam",Assyria
Kue,4,36.91802695356275,34.89153398422567,A place Solomon obtained horses,-
Mephaath,4,31.85,35.933333,"A Levitical city in Reuben, later Moabite",-
Moladah,4,31.162327,35.057114,"Town in the Negev, allotted to Judah and Simeon",-
Oboth,4,31.49684513710609,35.78284105296996,A place where the Israelites camped during the Exodus,-
Phrygia,4,37.76986723761415,29.06450110237073,A region in Asia Minor with early Christians,-
Pi-hahiroth,4,29.94658,32.425144,A place near the Red Sea crossing,-
Rameses,4,30.799370210096,31.834216685474,Egyptian city where Israelites lived before the Exodus,-
Rehob,4,32.955448,35.211971,Levitical city in Asher,-
Rimmon,4,31.93466,35.297063,Rock where Benjamites fled after battle,-
Salecah,4,32.493941,36.710337,"City in Bashan, east of the Jordan River",-
Sepharad,4,38.47682690345803,28.11413118732089,City in Asia Minor; destination of exiled Jews,-
Shaveh,4,31.58333333329998,35.70000000000012,Valley where Chedorlaomer defeated the Emites,-
Sheep Gate,4,31.777444,35.234935,Gate in Jerusalem near the sheep market,-
Sin,4,28.838778,33.420573,Wilderness area between Elim and Sinai,-
Smyrna,4,38.45196037886051,27.16192104844777,One of the seven churches of Asia Minor,-
Succoth,4,30.62077414398056,32.25869322351544,First Israelite campsite after leaving Egypt during Exodus,-
Thyatira,4,38.92579128786831,27.85655574592795,"City in Asia Minor, home of the prophet Lydia",-
Tower of Hananel,4,31.777444,35.234935,"A tower in Jerusalem's wall, rebuilt by Nehemiah",-
Ur,4,30.9620520474569,46.10374195774169,The hometown of Abraham in Mesopotamia,-
Valley Gate,4,31.777444,35.234935,"A gate in Jerusalem's wall, rebuilt by Nehemiah",-
Zanoah,4,31.716667,35.0,A town in the Judean lowlands allotted to Judah,-
Zaphon,4,32.23771,35.585865,A city in Gad and a term for the north,-
Zarephath,4,33.4333,35.3,A Phoenician city where Elijah stayed with a widow,-
Zered,4,30.884128,35.897633,A brook marking the end of Israel's wilderness wanderings,-
Abdon,3,33.047808,35.146201,A Levitical city in the territory of Asher.,-
Abel-meholah,3,32.35601,35.536929,"A town in Israel, home of Elisha.",-
Achshaph,3,32.95182083157021,35.17382658065705,A Canaanite city-state conquered by Joshua.,-
Ahava,3,33.625197,42.786647,A place where Ezra assembled the returning exiles.,-
Akrabbim,3,30.688292,35.263182,A pass marking the southern border of Judah,-
Aphek,3,32.77826806589006,35.69874935270775,"A city in the north, site of Aramean battles.",-
Aphek,3,34.066067,35.865801,A city in the territory of Asher.,-
Areopagus,3,37.98333333333333,23.73333333333333,A hill in Athens where Paul preached the gospel.,-
Azmon,3,30.958506,34.3805,Place on the southern border of Judah.,-
Baal-zephon,3,29.938441,32.395473,Egyptian location where the Israelites camped before crossing the Red Sea.,-
Bamoth-baal,3,31.76503129703305,35.71856575741812,Moabite high place where Balak took Balaam.,-
Beer-lahai-roi,3,30.68771281376111,34.49479554246946,Well where Hagar encountered the Angel of the Lord.,-
Benjamin Gate,3,31.777444,35.234935,"Gate in Jerusalem, associated with the tribe of Benjamin.",-
Berea,3,40.5167,22.2,City in Macedonia where Paul preached; home of Sopater.,-
Berothah,3,33.93148,36.152049,City mentioned in Ezekiel's vision and David's conquests.,-
Besor,3,31.398056,34.436667,Brook where David's men pursued the Amalekites.,-
Beth-anath,3,33.146864,35.427134,"Canaanite town allotted to Naphtali, but not fully conquered.",-
Beth-azmaveth,3,31.834203,35.260706,"Town of Benjamin, home to some who returned from exile.",-
Bethel,3,31.244952,34.840888,Town in Judah that received spoils from David's victory.,Tribe of Simeon
Beth-hoglah,3,31.837062,35.513151,Town on the border between Judah and Benjamin.,-
Beth-horon Upper,3,31.85891795409998,35.12831317484221,"Town in Ephraim, near Lower Beth-horon.",-
Beth-nimrah,3,31.900811,35.625693,"Town in Gad, east of the Jordan River.",-
Bethphage,3,31.79038300543012,35.25667232374259,"Village near Bethany, where Jesus began His triumphal entry.",-
Beth-shemesh,3,33.146864,35.427134,"Fortified city in Naphtali, not conquered by the tribe.",-
Carchemish,3,36.82928161099629,38.01576051001015,Ancient city; site of Babylonian victory over Egypt,-
Cenchreae,3,37.88460365000972,22.9933595701051,Port of Corinth; home of Phoebe,-
Chesulloth,3,32.683231,35.324694,Border town of Issachar and Zebulun,-
Colossae,3,37.78333333333333,29.25,City in Phrygia; recipient of Paul's epistle,-
Daberath,3,32.69171267584284,35.37171031061986,Levitical city in Issachar's territory,-
Decapolis,3,32.6817875,35.8700227,A group of ten Hellenistic cities in ancient Palestine.,-
Diblathaim,3,31.49684513710609,35.78284105296996,A place where the Israelites camped during their wilderness wanderings.,-
Dimnah,3,32.781808,35.321364,A Levitical city in the territory of Zebulun.,-
Dothan,3,32.42064338380848,35.18019829952955,A place where Joseph found his brothers and was sold.,-
Ebenezer,3,31.83273947023218,35.1801628605877,A stone memorial set up by Samuel to commemorate victory.,-
Elah Valley,3,31.690629,34.963136,Site of David's victory over Goliath,-
En-dor,3,32.62570020915744,35.38566744418715,Canaanite city; site of Saul's consultation with medium,-
En-gannim,3,32.46349905885267,35.3036831926058,Levitical city in Issachar's territory,-
Ezem,3,31.244952,34.840888,City allotted to Judah and Simeon,-
Fountain Gate,3,31.777444,35.234935,Gate in Jerusalem's wall; rebuilt by Shallun during Nehemiah's time,-
Gath-rimmon,3,32.06972222222223,34.88305555555556,Levitical city in Dan and Manasseh,-
Gennesaret,3,32.85935860372527,35.50993742021974,Plain on the northwest shore of the Sea of Galilee,-
Gilboa,3,32.516667,35.4,A mountain range where Saul and his sons died.,-
Goshen,3,31.45,34.916667,A town and region in the hill country of Judah.,-
Habor,3,36.344972,40.789333,A river in Assyria where Israelite captives were settled.,-
Hachilah,3,31.466604,35.216691,"A hill in the Wilderness of Ziph, near David's hideout.",-
Hadid,3,31.963575,34.952536,"A town in Benjamin, resettled after the Babylonian exile.",-
Halah,3,36.344972,40.789333,A place where Israelites were exiled by the Assyrians.,-
Harosheth-hagoyim,3,32.691177,35.110039,Canaanite city ruled by Sisera,-
Helkath,3,32.955448,35.211971,Levitical city in the territory of Asher,-
Hena,3,34.467725,41.964955,Mesopotamian city conquered by Assyria,-
Holon,3,31.583333,34.95,Levitical city in the hill country of Judah,-
Jezreel Valley,3,32.5559631396043,35.33078927843792,"A fertile valley in northern Israel, site of many battles",-
Jotbathah,3,29.75804307645581,35.0306017443078,A place where the Israelites camped during their wilderness journey,-
Kabzeel,3,31.1858,34.96745,"A town in the Negev, home of Benaiah",-
Kishion,3,32.559061,35.246206,A Levitical city in Issachar,-
Kitron,3,32.753141,35.279335,A city in Zebulun not conquered,-
